OBJECTID,name,Shape_Length,main_trail,locality,walk,bike,off_road_vehicle,mobility_access,horse,dog_access,dog_weblink,conditions_of_use,status,description,weblink,image_link,managed_by,data_supplier,spatial_accuracy,date_modified,local_authority
532,,3505.46064620321,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
533,,1347.91847238483,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
534,,3025.71231539515,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
535,,1387.95603634014,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
536,,3201.75838790574,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
537,,1798.78359644922,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
538,,1261.78644492859,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
539,,1179.56301062974,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
540,,2316.21031633177,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
541,,3616.8485848473,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
542,,367.787362537152,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
543,,2795.8370166311,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
544,,1123.97800967953,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
545,,567.775499184379,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
546,,1166.4332798881,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
547,,604.901814482467,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
548,,1082.37220920065,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
549,,787.089504431239,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
550,,1541.54387757487,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
551,Anaura Bay W/Way,4453.55231278479,,,3,99,99,,99,,,,,Anaura Bay W/Way,,,DOC,DOC,,,
552,,1996.60657362931,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
553,,2029.61740796121,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
554,Cooks Cove W/Way,2527.01139146308,,,3,99,99,,99,,,,,Cooks Cove W/Way,,,DOC,DOC,,,
555,,2130.45176322568,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
556,,2720.03786810408,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
557,Titirangi Homeguard Track,572.725058718015,,Kaiti Hill,,,,,,,,,,,,,,,,,
